Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football Div.2 League,30 Apr,19:00,Pairc Ciceam,Ballymun Kickhams,"
										2-14
									","
										0-5
									",Castleknock A,Tom Tansey  St Brendan's
U16 Football Div.2 League,30 Apr,19:00,Bushy Park,Templeogue Synge Street A,"
										1-9
									","
										1-9
									",Cuala A,Philip Carr-Round Towers C
U16 Football Div.2 League,30 Apr,19:00,Marlay Pk,Ballinteer St Johns A,"
										2-15
									","
										0-3
									",St Brigids A,Senan Finucane-Templeogue Synge Street
U16 Football Div.6 League,30 May,19:30,Bushy Park,Templeogue Synge Street B,"
										3-2
									","
										0-12
									",St Brigids B,Paul Flanagan-St James Gaels
U16 Football Div.6 League,30 May,19:30,Iveagh Grounds,St James Gaels An Caislean,"
										8-10
									","
										2-5
									",Cuala B,Robert Doyle - Round Towers C
U16 Football Div.6 League,30 May,19:30,Marlay Pk,Ballinteer St Johns B,"
										W/O
									","
										W/O
									",St Sylvesters B,Senan Finucane-Templeogue Synge Street
U16 Football Div.6 League,30 May,19:30,Balheary,Fingallians B,"
										4-10
									","
										2-17
									",St Marks,Brian Doran St Colmcilles
U16 Football Div.2 League,30 Apr,19:00,12th Lock,Lucan Sarsfields A,"
										1-15
									","
										0-17
									",Raheny,Eamon O Dowd-Ballyfermot De La Salle
U16 Football Div.2 League,27 Apr,13:00,Pc Ui Bhriain,Naomh Olaf A,"
										4-12
									","
										3-7
									",Naomh Mearnog,Shay Hurson-Lucan Sarsfields
U16 Football Div.2 League,06 Apr,15:30,Shanganagh Park,Cuala A,"
										5-14
									","
										4-8
									",Castleknock A,Conor Cullinan - Nh. Olaf
U16 Football Div.2 League,06 Apr,15:30,Pairc Mearnog,Naomh Mearnog,"
										1-6
									","
										8-17
									",Lucan Sarsfields A,Colm McCarthy-St Vincents
U16 Football Div.6 League,16 May,19:30,Russell Park,St Brigids B,"
										0-5
									","
										6-11
									",St James Gaels An Caislean,Dave O Donovan St Marks
U16 Football Div.6 League,30 Apr,19:00,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										4-10
									","
										2-12
									",Fingallians B,Danny Harrington St Sylvesters
U16 Football Div.6 League,30 Apr,19:00,McGee Park,St Marks,"
										6-16
									","
										0-3
									",Ballinteer St Johns B,Kevin Doherty Garda
U16 Football Div.6 League,30 Apr,19:00,Broomfield,St Sylvesters B,"
										2-10
									","
										8-7
									",St James Gaels An Caislean,Faolan McGovern Naomh Mearnog
U16 Football Div.2 League,06 Apr,15:30,St Annes 19,Raheny,"
										2-11
									","
										4-14
									",Ballinteer St Johns A,Mark McCabe-Trinity Gaels
U16 Football Div.2 League,06 Apr,15:30,Russell Park,St Brigids A,"
										2-9
									","
										2-7
									",Templeogue Synge Street A,Andrew Larkin  St Peregrines
U16 Football Div.2 League,04 Apr,19:00,Pc Ui Bhriain,Naomh Olaf A,"
										W/O
									","
										W/O
									",Ballymun Kickhams,Seamus Farrelly  Ballinteer St. John
U16 Football Div.2 League,23 Mar,15:00,Pairc Ciceam,Ballymun Kickhams,"
										2-4
									","
										6-5
									",Cuala A,Terry Carton  Naomh Fionnbarra
U16 Football Div.6 League,30 Apr,19:00,Shanganagh Park,Cuala B,"
										6-13
									","
										2-4
									",Templeogue Synge Street B,Conor Flannery GP Moran
U16 Football Div.6 League,30 Apr,19:00,Russell Park,St Brigids B,"
										3-8
									","
										3-8
									",St Vincents B,John Higgins-Na Fianna
U16 Football Div.6 League,06 Apr,15:30,Marlay Pk,Ballinteer St Johns B,"
										2-9
									","
										4-14
									",Fingallians B,Daniel Hussey - Geraldine P. Moran
U16 Football Div.6 League,06 Apr,15:30,PNU,St Vincents B,"
										7-10
									","
										1-9
									",Cuala B,James Crehan Raheny
U16 Football Div.6 League,06 Apr,15:30,Bushy Park,Templeogue Synge Street B,"
										4-3
									","
										3-9
									",St Sylvesters B,Brian Gillespie - Ballyboden St. Enda
U16 Football Div.2 League,23 Mar,15:00,Porterstown,Castleknock A,"
										W/O
									","
										W/O
									",St Brigids A,Mark Hanley - Lucan Sarsfields
U16 Football Div.2 League,23 Mar,15:00,Bushy Park,Templeogue Synge Street A,"
										4-9
									","
										1-9
									",Raheny,Eamon O Dowd-Ballyfermot De La Salle
U16 Football Div.2 League,23 Mar,15:00,Marlay Pk,Ballinteer St Johns A,"
										8-18
									","
										0-2
									",Naomh Mearnog,Senan Finucane-Templeogue Synge Street
U16 Football Div.2 League,23 Mar,15:00,12th Lock,Lucan Sarsfields A,"
										2-10
									","
										2-9
									",Naomh Olaf A,Andrew Larkin  St Peregrines
U16 Football Div.2 League,09 Mar,15:00,12th Lock,Lucan Sarsfields A,"
										2-8
									","
										2-3
									",Ballymun Kickhams,Andrew Larkin  St Peregrines
U16 Football Div.6 League,06 Apr,15:30,Iveagh Grounds,St James Gaels An Caislean,"
										2-6
									","
										2-9
									",St Marks,Sean Dunican - Nh. OP/ER
U16 Football Div.6 League,06 Apr,14:00,Russell Park,St Brigids B,"
										5-10
									","
										2-6
									",Beann Eadair,Andrew Larkin  St Peregrines
U16 Football Div.6 League,23 Mar,15:15,Broomfield,St Sylvesters B,"
										3-5
									","
										5-15
									",St Vincents B,Cian Comiskey - Fingallians
U16 Football Div.6 League,23 Mar,15:00,Balheary,Fingallians B,"
										2-6
									","
										5-10
									",St James Gaels An Caislean,Seán Kerins - Whitehall Colmcille
U16 Football Div.6 League,23 Mar,15:00,McGee Park,St Marks,"
										3-14
									","
										3-8
									",Templeogue Synge Street B,Eoin Connolly  St Judes
U16 Football Div.6 League,23 Mar,15:00,Shanganagh Park,Cuala B,"
										1-8
									","
										2-7
									",St Brigids B,Oisin O Siochru Kilmacud Crokes
U16 Football Div.2 League,09 Mar,15:00,St Annes 19,Raheny,"
										3-10
									","
										1-5
									",Castleknock A,Colm McCarthy-St Vincents
U16 Football Div.2 League,09 Mar,15:00,Russell Park,St Brigids A,"
										3-15
									","
										3-7
									",Cuala A,Eoin Conway  Castleknock
U16 Football Div.2 League,09 Mar,15:00,Pc Ui Bhriain,Naomh Olaf A,"
										1-3
									","
										2-12
									",Ballinteer St Johns A,Philip Carr-Round Towers C
U16 Football Div.2 League,09 Mar,15:00,Pairc Mearnog,Naomh Mearnog,"
										1-9
									","
										3-14
									",Templeogue Synge Street A,Terry Carton  Naomh Fionnbarra
U16 Football Div.2 League,23 Feb,15:00,Pairc Ciceam,Ballymun Kickhams,"
										1-10
									","
										2-5
									",St Brigids A,Damien Burnett  Craobh Chiarain
U16 Football Div.6 League,23 Mar,13:30,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										4-15
									","
										0-10
									",Ballinteer St Johns B,Tim McCarthy Snr-St Vincents
U16 Football Div.6 League,09 Mar,16:15,Bushy Park,Templeogue Synge Street B,"
										3-3
									","
										3-16
									",Fingallians B,Seamus Farrelly  Ballinteer St. John
U16 Football Div.6 League,09 Mar,15:00,Shanganagh Park,Cuala B,"
										13-15
									","
										0-2
									",Beann Eadair,Maurice Mulcahy Kilmacud Crokes
U16 Football Div.6 League,09 Mar,15:00,PNU,St Vincents B,"
										4-8
									","
										1-9
									",St Marks,Conor Flaherty - Raheny
U16 Football Div.6 League,09 Mar,13:30,Iveagh Grounds,St James Gaels An Caislean,"
										4-14
									","
										2-8
									",Ballinteer St Johns B,Bobby Moran  St Judes
U16 Football Div.2 League,23 Feb,15:00,Shanganagh Park,Cuala A,"
										3-14
									","
										4-15
									",Raheny,Bobby Moran  St Judes
U16 Football Div.2 League,23 Feb,15:00,Porterstown,Castleknock A,"
										W/O
									","
										W/O
									",Naomh Mearnog,Sean Dunican - Nh. OP/ER
U16 Football Div.2 League,23 Feb,15:00,Bushy Park,Templeogue Synge Street A,"
										2-6
									","
										1-10
									",Naomh Olaf A,Robert Doyle - Round Towers C
U16 Football Div.2 League,23 Feb,15:00,Marlay Pk,Ballinteer St Johns A,"
										3-10
									","
										0-13
									",Lucan Sarsfields A,Caomhan Bermingham Nh. Olaf
U16 Football Div.2 League,16 Feb,15:00,Marlay Pk,Ballinteer St Johns A,"
										3-14
									","
										2-7
									",Ballymun Kickhams,Senan Finucane-Templeogue Synge Street
U16 Football Div.6 League,09 Mar,13:30,Russell Park,St Brigids B,"
										3-6
									","
										2-7
									",St Sylvesters B,Eoin Conway  Castleknock
U16 Football Div.6 League,23 Feb,15:00,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										5-11
									","
										10-4
									",St James Gaels An Caislean,Brian Moore Craobh Chiaran
U16 Football Div.6 League,23 Feb,15:00,Balheary,Fingallians B,"
										2-16
									","
										4-9
									",St Vincents B,Brian Doran St Colmcilles
U16 Football Div.6 League,23 Feb,15:00,McGee Park,St Marks,"
										3-11
									","
										1-7
									",St Brigids B,Adam Kelly - Lucan Sarsfields
U16 Football Div.6 League,23 Feb,15:00,Broomfield,St Sylvesters B,"
										3-15
									","
										1-8
									",Cuala B,Cian Comiskey - Fingallians
U16 Football Div.2 League,16 Feb,15:00,Pc Ui Bhriain,Naomh Olaf A,"
										3-12
									","
										1-4
									",Castleknock A,Daniel Hussey - Geraldine P. Moran
U16 Football Div.2 League,16 Feb,15:00,Pairc Mearnog,Naomh Mearnog,"
										2-9
									","
										2-15
									",Cuala A,TBC
U16 Football Div.2 League,16 Feb,15:00,St Annes 19,Raheny,"
										0-4
									","
										4-16
									",St Brigids A,John Higgins-Na Fianna
U16 Football Div.2 League,16 Feb,15:00,12th Lock,Lucan Sarsfields A,"
										0-10
									","
										0-12
									",Templeogue Synge Street A,Sean Dunican - Nh. OP/ER
U16 Football Div.2 League,09 Feb,15:00,Pairc Ciceam,Ballymun Kickhams,"
										6-4
									","
										1-4
									",Raheny,Derek Doran  St Colmcilles
U16 Football Div.6 League,23 Feb,13:30,Marlay Pk,Ballinteer St Johns B,"
										2-4
									","
										7-11
									",Templeogue Synge Street B,Caomhan Bermingham Nh. Olaf
U16 Football Div.6 League,16 Feb,15:00,Malahide Castle,St Sylvesters B,"
										6-18
									","
										0-4
									",Beann Eadair,Cian O Flaherty Clontarf
U16 Football Div.6 League,16 Feb,15:00,Russell Park,St Brigids B,"
										2-20
									","
										0-5
									",Fingallians B,Andrew Larkin  St Peregrines
U16 Football Div.6 League,16 Feb,15:00,Bushy Park,Templeogue Synge Street B,"
										0-8
									","
										9-14
									",St James Gaels An Caislean,Tommie Clinton-Croi Ro Naofa
U16 Football Div.6 League,16 Feb,15:00,Shanganagh Park,Cuala B,"
										3-8
									","
										3-1
									",St Marks,Eoin Connolly  St Judes
U16 Football Div.2 League,09 Feb,15:00,Russell Park,St Brigids A,"
										6-18
									","
										1-7
									",Naomh Mearnog,Kevin Donohoe-Naomh Fionnbarra
U16 Football Div.2 League,09 Feb,15:00,Shanganagh Park,Cuala A,"
										4-9
									","
										3-7
									",Naomh Olaf A,Shane McDonnell - Stars of Erin
U16 Football Div.2 League,09 Feb,15:00,Porterstown,Castleknock A,"
										3-6
									","
										3-13
									",Lucan Sarsfields A,Tom Tansey  St Brendan's
U16 Football Div.2 League,09 Feb,15:00,Bushy Park,Templeogue Synge Street A,"
										1-8
									","
										1-12
									",Ballinteer St Johns A,Eamon O Dowd-Ballyfermot De La Salle
U16 Football Div.6 League,09 Feb,15:00,Pairc O Ruairc-Balkill Road,Beann Eadair,"
										4-9
									","
										4-7
									",Templeogue Synge Street B,Conor Flaherty - Raheny
U16 Football Div.6 League,09 Feb,15:00,Iveagh Grounds,St James Gaels An Caislean,"
										5-8
									","
										1-9
									",St Vincents B,Bobby Moran  St Judes
U16 Football Div.6 League,09 Feb,15:00,Marlay Pk,Ballinteer St Johns B,"
										1-1
									","
										4-16
									",St Brigids B,Caomhan Bermingham Nh. Olaf
U16 Football Div.6 League,09 Feb,15:00,Balheary,Fingallians B,"
										1-4
									","
										3-9
									",Cuala B,Brian Doran St Colmcilles
U16 Football Div.6 League,09 Feb,15:00,McGee Park,St Marks,"
										4-7
									","
										3-7
									",St Sylvesters B,Adam Kelly - Lucan Sarsfields
U16 Football League Div.5,25 Aug,15:30,Man O War,Man O War,"
										2-9
									","
										0-10
									",St Finians S,Robert Fennelly  Trinity Gaels
U16 Football League Div.5,22 Aug,19:15,St Vincents School,Na Fianna B,"
										2-12
									","
										4-7
									",St Finians S,Dave Sweeney Nh. OP/ER
U16 Football League Div.5,16 Aug,19:30,Man O War,Man O War,"
										5-13
									","
										1-8
									",St Finians S,Mick Joyce St Colmcilles
U16 Football League Div.5,12 Jul,19:30,Shanganagh Park,Cuala B,"
										
									","
										
									",Ros-Brigin,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.5,12 Jul,19:30,Glenaulin Park,St Patricks P,"
										W/O
									","
										W/O
									",Ballyboden St Endas C,Dave Sweeney Nh. OP/ER
U16 Football League Div.5,03 Jul,19:30,PNU,St Vincents B,"
										W/O
									","
										W/O
									",Cuala B,Faolan McGovern Naomh Mearnog
U16 Football League Div.5,03 Jul,19:30,St Vincents School,Na Fianna B,"
										5-12
									","
										0-9
									",Man O War,Jason Buckley Setanta
U16 Football League Div.5,29 May,19:30,Ridgewood Park,St Finians S,"
										5-15
									","
										2-11
									",Kilmacud Crokes C,Mick Joyce St Colmcilles
U16 Football League Div.5,25 May,19:30,Ballinteer All Weather,Ballinteer St Johns B,"
										5-15
									","
										11-11
									",Ros-Brigin,Robert Doyle - Round Towers C
U16 Football League Div.5,19 May,15:30,Glenaulin Park,St Patricks P,"
										3-10
									","
										2-4
									",Cuala B,Shay Hurson-Lucan Sarsfields
U16 Football League Div.5,19 May,15:30,Rush,Ros-Brigin,"
										3-12
									","
										6-9
									",Na Fianna B,Robert Fennelly  Trinity Gaels
U16 Football League Div.5,19 May,15:30,Man O War,Man O War,"
										8-16
									","
										0-5
									",St Vincents B,Ian Howley-O Dwyers
U16 Football League Div.5,19 May,14:00,Ballycullen,Ballyboden St Endas C,"
										0-5
									","
										11-12
									",St Finians S,Adam Kelly - Lucan Sarsfields
U16 Football League Div.5,19 May,14:00,Silver Park,Kilmacud Crokes C,"
										3-5
									","
										2-8
									",Ballinteer St Johns B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.5,28 Apr,15:30,Shanganagh Park,Cuala B,"
										0-6
									","
										4-15
									",Man O War,John Rutherford  Ballyboden St Enda
U16 Football League Div.5,28 Apr,15:30,Marlay Pk,Ballinteer St Johns B,"
										5-11
									","
										1-4
									",Ballyboden St Endas C,Darren Malone St Marys
U16 Football League Div.5,28 Apr,15:30,Ridgewood Park,St Finians S,"
										W/O
									","
										W/O
									",St Patricks P,Brian Doran-St Colmcilles
U16 Football League Div.5,28 Apr,14:00,PNU,St Vincents B,"
										5-14
									","
										1-12
									",Ros-Brigin,John Dunning  St Brigids
U16 Football League Div.5,28 Apr,14:00,St Vincents School,Na Fianna B,"
										4-15
									","
										0-5
									",Kilmacud Crokes C,Ryan O'Connor  St Brigids
U16 Football League Div.5,17 Apr,19:00,Ridgewood Park,St Finians S,"
										3-3
									","
										0-8
									",Na Fianna B,Derek Doran  St Colmcilles
U16 Football League Div.5,17 Apr,19:00,Glenaulin Park,St Patricks P,"
										3-8
									","
										11-4
									",St Vincents B,Senan Finucane-Templeogue Synge Street
U16 Football League Div.5,17 Apr,19:00,Shanganagh Park,Cuala B,"
										2-9
									","
										2-16
									",Ballyboden St Endas C,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.5,17 Apr,19:00,Man O War,Man O War,"
										W/O
									","
										W/O
									",Ballinteer St Johns B,Alan Howley O Dwyers
U16 Football League Div.5,14 Apr,15:30,Ridgewood Park,St Finians S,"
										4-13
									","
										0-1
									",Cuala B,Brian Doran-St Colmcilles
U16 Football League Div.5,14 Apr,15:30,Balbriggan,Ros-Brigin,"
										4-5
									","
										4-14
									",Man O War,Cian Comiskey - Fingallians
U16 Football League Div.5,14 Apr,15:30,Glenaulin Park,St Patricks P,"
										W/O
									","
										W/O
									",Ballinteer St Johns B,Seamus Keher - Lucan Sarsfields
U16 Football League Div.5,14 Apr,14:00,Ballycullen,Ballyboden St Endas C,"
										0-1
									","
										9-11
									",Na Fianna B,Senan Finucane-Templeogue Synge Street
U16 Football League Div.5,14 Apr,14:00,Silver Park,Kilmacud Crokes C,"
										0-11
									","
										2-13
									",St Vincents B,Craig Curtis  Round Towers C
U16 Football League Div.5,24 Mar,15:00,Man O War,Man O War,"
										4-17
									","
										1-2
									",Kilmacud Crokes C,Alan Howley O Dwyers
U16 Football League Div.5,24 Mar,15:00,St Vincents School,Na Fianna B,"
										5-9
									","
										1-1
									",St Patricks P,Sean Dunican - Nh. OP/ER
U16 Football League Div.5,24 Mar,13:30,PNU,St Vincents B,"
										6-13
									","
										0-3
									",Ballyboden St Endas C,Derek Doran  St Colmcilles
U16 Football League Div.5,24 Mar,13:30,Loreto Park,Ballinteer St Johns B,"
										4-5
									","
										8-10
									",St Finians S,Craig Curtis  Round Towers C
U16 Football League Div.5,10 Mar,15:00,Marlay Pk,Ballinteer St Johns B,"
										2-3
									","
										4-10
									",Cuala B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.5,10 Mar,15:00,Ballycullen,Ballyboden St Endas C,"
										1-2
									","
										3-20
									",Man O War,Mark Carroll St. Annes
U16 Football League Div.5,10 Mar,13:30,Silver Park,Kilmacud Crokes C,"
										1-12
									","
										9-4
									",Ros-Brigin,Shay Hurson-Lucan Sarsfields
U16 Football League Div.5,24 Feb,15:00,Shanganagh Park,Cuala B,"
										2-6
									","
										2-10
									",Kilmacud Crokes C,John Rutherford  Ballyboden St Enda
U16 Football League Div.5,24 Feb,15:00,Rush,Ros-Brigin,"
										W/O
									","
										W/O
									",Ballyboden St Endas C,Colm McCarthy-St Vincents
U16 Football League Div.5,24 Feb,15:00,Man O War,Man O War,"
										20-15
									","
										1-1
									",St Patricks P,Karl Keane  Fingallians
U16 Football League Div.5,24 Feb,15:00,St Vincents School,Na Fianna B,"
										4-15
									","
										0-7
									",Ballinteer St Johns B,John Paul Carroll -Ballymun Kickhams
U16 Football League Div.5,24 Feb,13:30,PNU,St Vincents B,"
										0-9
									","
										3-17
									",St Finians S,Faolan McGovern Naomh Mearnog
U16 Football League Div.5,17 Feb,15:00,St Vincents School,Na Fianna B,"
										7-7
									","
										0-2
									",Cuala B,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.5,17 Feb,15:00,Ridgewood Park,St Finians S,"
										6-6
									","
										7-8
									",Man O War,Daniel O Connor Whitehall Colmcille
U16 Football League Div.5,17 Feb,15:00,Glenaulin Park,St Patricks P,"
										5-5
									","
										11-12
									",Ros-Brigin,Eoin Conway  Castleknock
U16 Football League Div.5,17 Feb,15:00,Marlay Pk,Ballinteer St Johns B,"
										0-7
									","
										9-4
									",St Vincents B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.5,17 Feb,13:30,Ballycullen,Ballyboden St Endas C,"
										1-2
									","
										2-11
									",Kilmacud Crokes C,Eoin Connolly - St. Judes
U16 Football League Div.5,10 Feb,15:00,ODwyers,Ros-Brigin,"
										3-7
									","
										6-15
									",St Finians S,Robert Fennelly  Trinity Gaels
U16 Football League Div.5,10 Feb,15:00,PNU,St Vincents B,"
										1-9
									","
										4-12
									",Na Fianna B,Jason Buckley Setanta
U16 Football League Div.5,10 Feb,13:30,Silver Park,Kilmacud Crokes C,"
										1-11
									","
										4-4
									",St Patricks P,Brian Gillespie - Ballyboden St. Enda
U16 Football League Div.2,22 Aug,19:15,Westmanstown Sports Centre,St Catherines,"
										3-9
									","
										5-18
									",Thomas Davis A,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.2,03 Jul,19:30,Kiltipper Rd,Thomas Davis,"
										2-22
									","
										0-9
									",St Catherines,Senan Finucane-Templeogue Synge Street
U16 Football League Div.2,03 Jul,19:30,Rolestown,Fingal Ravens,"
										W/O
									","
										W/O
									",Naomh Mearnog,Terry Carton  Naomh Fionnbarra
U16 Football League Div.2,22 May,19:30,Townparks,Skerries Harps A,"
										5-9
									","
										4-8
									",Na Fianna A,Antoin Keating Setanta
U16 Football League Div.2,19 May,15:30,Rolestown,Fingal Ravens,"
										1-19
									","
										0-4
									",Raheny,Damien Gilmore-Skerries Harps
U16 Football League Div.2,19 May,15:30,Pairc Mearnog ,Naomh Mearnog,"
										1-9
									","
										5-21
									",Thomas Davis,Tim McCarthy Snr-St Vincents
U16 Football League Div.2,19 May,15:30,Westmanstown Sports Centre,St Catherines,"
										2-11
									","
										1-10
									",Skerries Harps A,Fergus McGreevy Nh. OP/ER
U16 Football League Div.2,19 May,15:30,Collinstown,Na Fianna A,"
										3-7
									","
										4-9
									",St Vincents A,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.2,19 May,15:30,Pc Ui Bhriain,Naomh Olaf,"
										5-9
									","
										3-11
									",Clontarf,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.2,15 May,19:30,PNU,St Vincents A,"
										4-9
									","
										0-8
									",Naomh Olaf,Luke Lacey Na Fianna
U16 Football League Div.2,12 May,15:00,St Annes 34,Clontarf,"
										5-17
									","
										0-17
									",Raheny,PJ Murray-St Finians S
U16 Football League Div.2,28 Apr,15:30,St Annes 10,Raheny,"
										0-8
									","
										7-17
									",Naomh Olaf,George Williams -Trinity Gaels
U16 Football League Div.2,28 Apr,15:30,St Annes 34,Clontarf,"
										0-9
									","
										7-18
									",Na Fianna A,Dave Sweeney Nh. OP/ER
U16 Football League Div.2,28 Apr,15:30,PNU,St Vincents A,"
										3-4
									","
										4-14
									",St Catherines,John Dunning  St Brigids
U16 Football League Div.2,28 Apr,15:30,Townparks,Skerries Harps A,"
										8-16
									","
										0-5
									",Naomh Mearnog,Robert Fennelly  Trinity Gaels
U16 Football League Div.2,28 Apr,15:30,Kiltipper Rd,Thomas Davis,"
										2-6
									","
										5-10
									",Fingal Ravens,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.2,17 Apr,19:00,St Annes 12A,Raheny,"
										0-5
									","
										3-8
									",Naomh Mearnog,Sean McCarthy-St Vincents
U16 Football League Div.2,14 Apr,15:30,Kiltipper Rd,Thomas Davis,"
										2-17
									","
										0-10
									",Raheny,Ciarán Pollock - St. Annes
U16 Football League Div.2,14 Apr,15:30,Collinstown,Na Fianna A,"
										3-9
									","
										0-15
									",Naomh Olaf,Thomas Gleeson-Naomh Fionnbarra
U16 Football League Div.2,14 Apr,15:30,Rolestown,Fingal Ravens,"
										1-13
									","
										1-7
									",Skerries Harps A,Ryan O Connor  St. Brigids
U16 Football League Div.2,14 Apr,15:30,Pairc Mearnog ,Naomh Mearnog,"
										1-5
									","
										5-9
									",St Vincents A,Alan Burke - Na Dubh Ghall
U16 Football League Div.2,14 Apr,15:30,Westmanstown Sports Centre,St Catherines,"
										3-11
									","
										0-16
									",Clontarf,Shay Hurson-Lucan Sarsfields
U16 Football League Div.2,24 Mar,15:00,St Annes 12A,Raheny,"
										0-6
									","
										7-11
									",Na Fianna A,Chris McGinn Clontarf
U16 Football League Div.2,24 Mar,15:00,Pc Ui Bhriain,Naomh Olaf,"
										2-5
									","
										1-9
									",St Catherines,Daniel Hussey - Geraldine P. Moran
U16 Football League Div.2,24 Mar,15:00,St Annes 34,Clontarf,"
										7-13
									","
										1-12
									",Naomh Mearnog,Dave Sweeney Nh OP ER
U16 Football League Div.2,24 Mar,15:00,PNU,St Vincents A,"
										3-5
									","
										2-14
									",Fingal Ravens,Derek Doran  St Colmcilles
U16 Football League Div.2,24 Mar,15:00,Townparks,Skerries Harps A,"
										2-13
									","
										3-15
									",Thomas Davis,Robert Fennelly  Trinity Gaels
U16 Football League Div.2,10 Mar,15:00,Townparks,Skerries Harps A,"
										2-11
									","
										2-6
									",Raheny,Finbar Gaffney- Na Fianna
U16 Football League Div.2,10 Mar,15:00,Pairc Mearnog ,Naomh Mearnog,"
										1-9
									","
										0-12
									",Naomh Olaf,Colm McCarthy-St Vincents
U16 Football League Div.2,10 Mar,15:00,Westmanstown Sports Centre,St Catherines,"
										1-11
									","
										1-5
									",Na Fianna A,John Dunning  St Brigids
U16 Football League Div.2,10 Mar,15:00,Kiltipper Rd,Thomas Davis,"
										1-14
									","
										3-6
									",St Vincents A,Lee Moroney-St Annes
U16 Football League Div.2,10 Mar,15:00,St Annes 35,Fingal Ravens,"
										3-17
									","
										1-5
									",Clontarf,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.2,24 Feb,15:00,St Annes 10,Raheny,"
										1-4
									","
										7-15
									",St Catherines,Sean McCarthy-St Vincents
U16 Football League Div.2,24 Feb,15:00,Collinstown,Na Fianna A,"
										5-10
									","
										1-9
									",Naomh Mearnog,Ian Howley-O Dwyers
U16 Football League Div.2,24 Feb,15:00,Pc Ui Bhriain,Naomh Olaf,"
										1-11
									","
										2-9
									",Fingal Ravens,Daniel Hussey - Geraldine P. Moran
U16 Football League Div.2,24 Feb,15:00,PNU,St Vincents A,"
										1-12
									","
										0-7
									",Skerries Harps A,Faolan Radford McGovern - Naomh Mearnóg
U16 Football League Div.2,23 Feb,19:30,St Annes 34,Clontarf,"
										3-15
									","
										2-8
									",Thomas Davis,Tim McCarthy Snr-St Vincents
U16 Football League Div.2,17 Feb,15:00,PNU,St Vincents A,"
										7-16
									","
										1-1
									",Raheny,Finbar Gaffney- Na Fianna
U16 Football League Div.2,17 Feb,15:00,Kiltipper Rd,Thomas Davis,"
										2-12
									","
										2-7
									",Naomh Olaf,Adam Kelly - Lucan Sarsfields
U16 Football League Div.2,17 Feb,15:00,Rolestown,Fingal Ravens,"
										2-12
									","
										0-8
									",Na Fianna A,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.2,17 Feb,15:00,Pairc Mearnog ,Naomh Mearnog,"
										2-10
									","
										3-10
									",St Catherines,Sean McCarthy-St Vincents
U16 Football League Div.2,17 Feb,15:00,Townparks,Skerries Harps A,"
										0-9
									","
										2-6
									",Clontarf,Ian Howley-O Dwyers
U16 Football League Div.2,10 Feb,15:00,Westmanstown Sports Centre,St Catherines,"
										3-11
									","
										2-20
									",Fingal Ravens,Finbar Gaffney- Na Fianna
U16 Football League Div.2,10 Feb,15:00,Collinstown,Na Fianna A,"
										2-8
									","
										3-12
									",Thomas Davis,Derek Doran  St Colmcilles
U16 Football League Div.2,10 Feb,15:00,Pc Ui Bhriain,Naomh Olaf,"
										0-5
									","
										3-7
									",Skerries Harps A,John Rutherford  Ballyboden St Enda
U16 Football League Div.2,10 Feb,15:00,St Annes 34,Clontarf,"
										0-11
									","
										4-6
									",St Vincents A,Dave Aston Naomh Mearnog
U16 Football League Div.1,22 Aug,19:15,Martin Savage Park,Naomh OP ER,"
										2-14
									","
										4-14
									",Castleknock A,Finbar Gaffney Na Fianna
U16 Football League Div.1,03 Jul,19:30,Martin Savage Park,Naomh OP ER,"
										W/O
									","
										W/O
									",Fingallians,TBC
U16 Football League Div.1,03 Jul,19:30,Porterstown,Castleknock A,"
										1-14
									","
										0-17
									",Ballinteer St Johns A,Dave Sweeney Nh. OP/ER
U16 Football League Div.1,03 Jul,19:30,Ballamastone-Donabate,St Patricks D,"
										0-8
									","
										3-10
									",Cuala A,PJ Murray-St Finians S
U16 Football League Div.1,23 Jun,11:30,Silver Park,Kilmacud Crokes A,"
										4-10
									","
										2-4
									",St Sylvesters A,Caomhan Bermingham Nh. Olaf
U16 Football League Div.1,23 May,19:30,12th Lock,Lucan Sarsfields A,"
										2-9
									","
										4-15
									",Ballyboden St Endas A,Terry Carton  Naomh Fionnbarra
U16 Football League Div.1,22 May,19:30,Martin Savage Park,Naomh OP ER,"
										2-14
									","
										0-5
									",Cuala A,Finbar Gaffney Na Fianna
U16 Football League Div.1,19 May,15:30,Ballamastone-Donabate,St Patricks D,"
										5-12
									","
										1-9
									",Fingallians,Derek Doran  St Colmcilles
